segment	label
2K_dev_1231::span:449:518	-1
2K_dev_1231::span:244:275	-1
2K_dev_1231::span:957:1039	-1
2K_dev_1231::span:278:343	-1
2K_dev_1231::span:1042:1181	-1
2K_dev_1231::span:1317:1355	-1
2K_dev_1231::span:856:954	-1
2K_dev_215::span:403:514	-1
2K_dev_215::span:48:178	1
2K_dev_215::span:312:400	1
2K_dev_215::span:181:309	1
2K_dev_215::span:0:45	1
2K_dev_215::span:517:683	-1
2K_dev_321::span:509:617	-1
2K_dev_321::span:940:955	-1
2K_dev_321::span:1373:1428	-1
2K_dev_321::span:1102:1193	-1
2K_dev_321::span:211:294	1
2K_dev_321::span:432:462	-1
2K_dev_321::span:802:866	-1
2K_dev_321::span:1593:1615	-1
2K_dev_321::span:1618:1719	-1
2K_dev_321::span:620:799	-1
2K_dev_321::span:869:937	-1
2K_dev_321::span:1431:1527	-1
2K_dev_321::span:1196:1261	-1
2K_dev_321::span:46:114	-1
2K_dev_321::span:0:43	-1
2K_dev_321::span:1530:1590	-1
2K_dev_321::span:297:394	-1
2K_dev_321::span:958:1013	-1
2K_dev_321::span:397:429	-1
2K_dev_321::span:1016:1099	-1
2K_dev_321::span:117:208	1
2K_dev_321::span:1264:1370	-1
2K_dev_321::span:465:506	-1
2K_dev_1248::span:104:173	-1
2K_dev_1248::span:0:101	-1
2K_dev_1267::span:735:809	-1
2K_dev_1267::span:1345:1385	-1
2K_dev_1267::span:975:1342	-1
2K_dev_1267::span:445:496	-1
2K_dev_1267::span:203:260	1
2K_dev_1267::span:812:972	-1
2K_dev_1267::span:595:678	-1
2K_dev_1267::span:383:442	-1
2K_dev_1267::span:523:592	-1
2K_dev_1267::span:351:380	1
2K_dev_1267::span:499:520	-1
2K_dev_1267::span:122:200	-1
2K_dev_1267::span:263:348	1
2K_dev_1267::span:681:732	-1
2K_dev_1629::span:328:430	-1
2K_dev_1629::span:662:705	-1
2K_dev_1629::span:433:590	-1
2K_dev_1629::span:0:130	1
2K_dev_1629::span:593:659	-1
2K_dev_1629::span:708:738	-1
2K_dev_1629::span:133:262	-1
2K_dev_1629::span:265:325	-1
2K_dev_1629::span:741:779	-1
2K_dev_1356::span:109:159	-1
2K_dev_1356::span:545:658	-1
2K_dev_1356::span:318:376	1
2K_dev_1356::span:661:738	-1
2K_dev_1356::span:162:315	1
2K_dev_1356::span:379:418	-1
2K_dev_1356::span:421:542	-1
2K_dev_1356::span:0:106	-1
2K_dev_1404::span:0:100	-1
2K_dev_1404::span:103:225	-1
2K_dev_1097::span:512:648	-1
2K_dev_1097::span:651:702	-1
2K_dev_1097::span:834:904	-1
2K_dev_1097::span:705:747	-1
2K_dev_1097::span:750:831	-1
2K_dev_1097::span:907:987	-1
2K_dev_567::span:0:100	-1
2K_dev_567::span:370:571	-1
2K_dev_567::span:103:171	1
2K_dev_567::span:707:784	-1
2K_dev_567::span:174:235	1
2K_dev_567::span:238:302	1
2K_dev_567::span:574:704	-1
2K_dev_567::span:305:367	-1
2K_dev_1894::span:1000:1055	-1
2K_dev_1894::span:1123:1157	-1
2K_dev_1894::span:692:758	-1
2K_dev_1894::span:902:997	-1
2K_dev_1894::span:845:899	-1
2K_dev_1894::span:641:689	-1
2K_dev_1894::span:1058:1120	-1
2K_dev_1894::span:761:842	-1
2K_dev_1575::span:1276:1460	-1
2K_dev_1575::span:1032:1273	-1
2K_dev_1575::span:1463:1490	-1
2K_dev_1575::span:1493:1535	-1
2K_dev_7::span:287:318	-1
2K_dev_7::span:0:67	-1
2K_dev_7::span:70:190	1
2K_dev_7::span:761:843	-1
2K_dev_7::span:321:423	-1
2K_dev_7::span:240:284	-1
2K_dev_7::span:426:516	-1
2K_dev_7::span:193:237	1
2K_dev_7::span:598:670	-1
2K_dev_7::span:673:758	-1
2K_dev_7::span:519:595	-1
2K_dev_359::span:85:266	-1
2K_dev_359::span:269:331	1
2K_dev_359::span:0:82	-1
2K_dev_359::span:334:421	-1
2K_dev_412::span:187:232	-1
2K_dev_412::span:393:508	1
2K_dev_412::span:1501:1544	-1
2K_dev_412::span:511:682	-1
2K_dev_412::span:1196:1343	-1
2K_dev_412::span:235:390	1
2K_dev_412::span:1547:1606	-1
2K_dev_412::span:1098:1193	-1
2K_dev_412::span:685:1095	-1
2K_dev_412::span:1437:1498	-1
2K_dev_412::span:0:184	-1
2K_dev_412::span:1346:1434	-1
2K_dev_599::span:815:972	-1
2K_dev_599::span:751:812	-1
2K_dev_599::span:413:514	-1
2K_dev_599::span:399:410	-1
2K_dev_599::span:517:748	-1
2K_dev_599::span:975:1003	-1
2K_dev_279::span:1032:1062	-1
2K_dev_279::span:1248:1295	-1
2K_dev_279::span:971:1029	-1
2K_dev_279::span:1065:1128	-1
2K_dev_279::span:1612:1673	-1
2K_dev_279::span:522:588	1
2K_dev_279::span:703:729	-1
2K_dev_279::span:914:968	-1
2K_dev_279::span:1676:1710	-1
2K_dev_279::span:847:911	-1
2K_dev_279::span:1131:1245	-1
2K_dev_279::span:1560:1609	-1
2K_dev_279::span:1298:1557	-1
2K_dev_279::span:732:844	-1
2K_dev_279::span:591:700	-1
2K_dev_488::span:1229:1343	-1
2K_dev_208::span:181:253	-1
2K_dev_208::span:131:178	-1
2K_dev_208::span:417:572	-1
2K_dev_208::span:256:414	1
2K_dev_208::span:575:672	-1
2K_dev_208::span:0:99	-1
2K_dev_208::span:102:128	-1
2K_dev_669::span:1233:1252	-1
2K_dev_669::span:1024:1031	-1
2K_dev_669::span:1171:1230	-1
2K_dev_669::span:1034:1168	-1
2K_dev_1096::span:1352:1372	-1
2K_dev_1096::span:1664:1710	-1
2K_dev_1096::span:1375:1544	-1
2K_dev_1096::span:1547:1661	-1
2K_dev_1341::span:1004:1026	1
2K_dev_1341::span:359:489	-1
2K_dev_1341::span:1272:1436	-1
2K_dev_1341::span:492:617	-1
2K_dev_1341::span:657:772	1
2K_dev_1341::span:1088:1141	-1
2K_dev_1341::span:156:286	-1
2K_dev_1341::span:620:654	-1
2K_dev_1341::span:1144:1199	-1
2K_dev_1341::span:1029:1059	1
2K_dev_1341::span:41:153	-1
2K_dev_1341::span:775:828	1
2K_dev_1341::span:289:356	-1
2K_dev_1341::span:0:38	-1
2K_dev_1341::span:1202:1269	-1
2K_dev_1341::span:831:1001	1
2K_dev_1341::span:1062:1085	-1
2K_dev_1354::span:532:731	-1
2K_dev_1354::span:505:529	1
2K_dev_1354::span:734:878	-1
2K_dev_964::span:387:409	-1
2K_dev_964::span:449:485	1
2K_dev_964::span:881:921	-1
2K_dev_964::span:50:90	-1
2K_dev_964::span:0:47	-1
2K_dev_964::span:240:384	-1
2K_dev_964::span:93:146	-1
2K_dev_964::span:924:1078	-1
2K_dev_964::span:488:683	1
2K_dev_964::span:196:237	-1
2K_dev_964::span:149:193	-1
2K_dev_964::span:412:446	-1
2K_dev_964::span:686:878	-1
2K_dev_1553::span:590:628	-1
2K_dev_1553::span:144:243	-1
2K_dev_1553::span:246:368	1
2K_dev_1553::span:371:436	1
2K_dev_1553::span:0:141	-1
2K_dev_1553::span:550:587	-1
2K_dev_1553::span:631:669	-1
2K_dev_1553::span:439:547	-1
2K_dev_528::span:259:373	1
2K_dev_528::span:0:129	-1
2K_dev_528::span:132:256	1
2K_dev_1510::span:393:497	-1
2K_dev_1510::span:1002:1044	-1
2K_dev_1510::span:706:829	-1
2K_dev_1510::span:105:184	-1
2K_dev_1510::span:1047:1259	-1
2K_dev_1510::span:318:390	-1
2K_dev_1510::span:0:102	-1
2K_dev_1510::span:832:999	-1
2K_dev_1510::span:1262:1337	-1
2K_dev_1510::span:1340:1391	-1
2K_dev_1510::span:500:703	-1
2K_dev_1510::span:187:315	1
2K_dev_1645::span:850:885	1
2K_dev_1645::span:888:916	1
2K_dev_1645::span:581:808	1
2K_dev_1645::span:919:987	-1
2K_dev_1645::span:811:847	1
2K_dev_831::span:175:202	-1
2K_dev_2011::span:895:1026	-1
2K_dev_2011::span:599:682	-1
2K_dev_2011::span:685:756	-1
2K_dev_2011::span:106:218	1
2K_dev_2011::span:1029:1119	-1
2K_dev_2011::span:372:596	-1
2K_dev_2011::span:0:73	-1
2K_dev_2011::span:221:369	1
2K_dev_2011::span:76:103	-1
2K_dev_2011::span:759:892	-1
2K_dev_1396::span:70:140	1
2K_dev_1396::span:0:67	-1
2K_dev_1396::span:143:181	1
2K_dev_1442::span:608:703	-1
2K_dev_1442::span:0:71	-1
2K_dev_1442::span:74:193	-1
2K_dev_1442::span:1224:1412	-1
2K_dev_1442::span:824:854	1
2K_dev_1442::span:377:408	-1
2K_dev_1442::span:1415:1516	-1
2K_dev_1442::span:1107:1221	-1
2K_dev_1442::span:857:927	1
2K_dev_1442::span:196:374	-1
2K_dev_1442::span:1032:1104	-1
2K_dev_1442::span:775:821	1
2K_dev_1442::span:411:548	-1
2K_dev_1442::span:551:605	-1
2K_dev_1442::span:706:772	1
2K_dev_1442::span:930:1029	1
2K_dev_141::span:1002:1111	-1
2K_dev_141::span:810:919	-1
2K_dev_141::span:922:999	-1
2K_dev_141::span:107:282	-1
2K_dev_141::span:285:524	-1
2K_dev_141::span:674:807	-1
2K_dev_141::span:527:671	1
2K_dev_220::span:1305:1420	-1
2K_dev_220::span:1237:1302	-1
2K_dev_220::span:0:77	-1
2K_dev_220::span:342:412	1
2K_dev_220::span:415:597	-1
2K_dev_220::span:215:286	1
2K_dev_220::span:289:339	1
2K_dev_220::span:80:133	-1
2K_dev_220::span:136:212	-1
2K_dev_220::span:1035:1234	-1
2K_dev_220::span:600:1032	-1
2K_dev_1157::span:191:231	-1
2K_dev_1157::span:844:923	-1
2K_dev_1157::span:669:748	-1
2K_dev_1157::span:0:77	-1
2K_dev_1157::span:495:607	1
2K_dev_1157::span:80:129	-1
2K_dev_1157::span:234:296	-1
2K_dev_1157::span:813:841	-1
2K_dev_1157::span:299:492	1
2K_dev_1157::span:751:810	-1
2K_dev_1157::span:132:188	-1
2K_dev_1157::span:610:666	-1
2K_dev_1157::span:926:1023	-1
2K_dev_1157::span:1026:1086	-1
2K_dev_41::span:119:191	-1
2K_dev_41::span:34:116	-1
2K_dev_41::span:0:31	-1
2K_dev_1001::span:611:730	-1
2K_dev_1001::span:280:329	-1
2K_dev_1001::span:451:608	-1
2K_dev_1001::span:0:37	1
2K_dev_1001::span:78:124	1
2K_dev_1001::span:332:448	-1
2K_dev_1001::span:733:787	-1
2K_dev_1001::span:40:75	1
2K_dev_1001::span:127:277	-1
2K_dev_29::span:387:766	-1
2K_dev_29::span:219:273	1
2K_dev_29::span:149:216	1
2K_dev_29::span:769:877	-1
2K_dev_29::span:0:146	-1
2K_dev_29::span:276:384	1
2K_dev_1734::span:621:748	-1
2K_dev_1734::span:0:90	-1
2K_dev_1734::span:751:972	-1
2K_dev_1734::span:93:156	-1
2K_dev_1734::span:445:618	-1
2K_dev_1734::span:366:442	1
2K_dev_1734::span:159:363	-1
2K_dev_1573::span:510:691	-1
2K_dev_1573::span:367:507	1
2K_dev_1573::span:248:364	-1
2K_dev_1573::span:0:245	-1
2K_dev_1941::span:1103:1186	-1
2K_dev_1941::span:120:186	-1
2K_dev_1941::span:327:397	1
2K_dev_1941::span:475:538	-1
2K_dev_1941::span:1189:1297	-1
2K_dev_1941::span:0:54	-1
2K_dev_1941::span:189:218	1
2K_dev_1941::span:658:779	-1
2K_dev_1941::span:221:324	1
2K_dev_1941::span:782:822	-1
2K_dev_1941::span:825:940	-1
2K_dev_1941::span:400:472	-1
2K_dev_1941::span:1057:1100	-1
2K_dev_1941::span:541:655	-1
2K_dev_1941::span:943:1054	-1
2K_dev_1941::span:57:117	-1
2K_dev_157::span:1433:1522	-1
2K_dev_157::span:1279:1388	-1
2K_dev_157::span:1198:1247	-1
2K_dev_157::span:772:1162	-1
2K_dev_157::span:573:622	-1
2K_dev_157::span:625:673	-1
2K_dev_157::span:1165:1195	-1
2K_dev_157::span:1391:1430	-1
2K_dev_157::span:1250:1276	-1
2K_dev_157::span:1525:1610	-1
2K_dev_157::span:676:769	-1
2K_dev_998::span:377:468	1
2K_dev_998::span:981:1051	-1
2K_dev_998::span:107:133	1
2K_dev_998::span:803:978	-1
2K_dev_998::span:663:800	-1
2K_dev_998::span:136:182	1
2K_dev_998::span:309:331	1
2K_dev_998::span:471:562	1
2K_dev_998::span:334:374	1
2K_dev_998::span:0:104	-1
2K_dev_998::span:565:660	1
2K_dev_998::span:185:306	1
2K_dev_21::span:71:96	-1
2K_dev_21::span:99:133	-1
2K_dev_21::span:486:638	-1
2K_dev_21::span:136:483	-1
2K_dev_21::span:0:68	-1
2K_dev_1357::span:96:138	-1
2K_dev_1357::span:68:93	-1
2K_dev_1357::span:0:65	-1
2K_dev_1866::span:0:132	-1
2K_dev_1866::span:711:802	-1
2K_dev_1866::span:453:518	1
2K_dev_1866::span:366:450	1
2K_dev_1866::span:135:363	-1
2K_dev_1866::span:659:708	-1
2K_dev_1866::span:521:656	-1
2K_dev_1107::span:942:1009	-1
2K_dev_1107::span:589:660	-1
2K_dev_1107::span:800:842	-1
2K_dev_1107::span:1212:1263	-1
2K_dev_1107::span:783:797	-1
2K_dev_1107::span:1012:1116	-1
2K_dev_1107::span:741:780	-1
2K_dev_1107::span:1119:1209	-1
2K_dev_1107::span:845:939	-1
2K_dev_1107::span:663:738	-1
2K_dev_1107::span:400:586	1
2K_dev_1213::span:326:440	1
2K_dev_1213::span:196:282	-1
2K_dev_1213::span:125:193	-1
2K_dev_1213::span:285:323	-1
2K_dev_1213::span:582:733	-1
2K_dev_1213::span:736:931	-1
2K_dev_1213::span:443:502	-1
2K_dev_1213::span:934:1102	-1
2K_dev_1213::span:92:122	-1
2K_dev_1213::span:0:89	-1
2K_dev_1213::span:505:579	-1
2K_dev_877::span:0:56	-1
2K_dev_877::span:250:315	1
2K_dev_877::span:59:187	-1
2K_dev_877::span:190:247	-1
2K_dev_1327::span:314:352	1
2K_dev_1327::span:247:311	1
2K_dev_1327::span:235:244	1
2K_dev_1327::span:355:389	1
2K_dev_2014::span:422:540	-1
2K_dev_2014::span:0:100	-1
2K_dev_2014::span:198:258	-1
2K_dev_2014::span:261:419	-1
2K_dev_2014::span:103:195	-1
2K_dev_1693::span:692:835	-1
2K_dev_1693::span:510:569	1
2K_dev_1693::span:264:369	1
2K_dev_1693::span:0:94	-1
2K_dev_1693::span:170:261	-1
2K_dev_1693::span:97:167	-1
2K_dev_1693::span:572:689	-1
2K_dev_1693::span:372:507	1
2K_dev_1851::span:932:1091	-1
2K_dev_1851::span:857:929	-1
2K_dev_1851::span:844:854	-1
2K_dev_1990::span:346:477	-1
2K_dev_1990::span:653:752	-1
2K_dev_1990::span:480:517	-1
2K_dev_1990::span:79:123	-1
2K_dev_1990::span:246:309	1
2K_dev_1990::span:0:76	-1
2K_dev_1990::span:312:343	1
2K_dev_1990::span:126:243	1
2K_dev_1990::span:520:650	-1
2K_dev_788::span:156:208	-1
2K_dev_788::span:82:100	-1
2K_dev_788::span:103:153	-1
2K_dev_1614::span:1256:1374	-1
2K_dev_1614::span:957:1253	-1
2K_dev_1614::span:944:954	-1
2K_dev_260::span:458:575	-1
2K_dev_260::span:869:1011	-1
2K_dev_260::span:668:796	-1
2K_dev_260::span:1014:1059	-1
2K_dev_260::span:578:665	-1
2K_dev_260::span:799:866	-1
2K_dev_260::span:447:455	-1
2K_dev_1229::span:1414:1477	-1
2K_dev_1229::span:1480:1548	-1
2K_dev_1229::span:1369:1411	-1
2K_dev_1766::span:630:694	-1
2K_dev_1766::span:747:834	-1
2K_dev_1766::span:1025:1102	-1
2K_dev_1766::span:541:627	-1
2K_dev_1766::span:713:744	-1
2K_dev_1766::span:400:458	-1
2K_dev_1766::span:925:1022	-1
2K_dev_1766::span:337:397	-1
2K_dev_1766::span:837:922	-1
2K_dev_1766::span:697:710	-1
2K_dev_1766::span:461:538	-1
2K_dev_347::span:105:166	-1
2K_dev_347::span:215:385	-1
2K_dev_347::span:388:565	-1
2K_dev_347::span:0:60	-1
2K_dev_347::span:169:212	1
2K_dev_347::span:63:102	-1
2K_dev_1066::span:109:177	-1
2K_dev_1066::span:180:210	-1
2K_dev_1066::span:0:106	-1
2K_dev_1066::span:213:319	-1
2K_dev_2022::span:454:487	1
2K_dev_2022::span:490:614	-1
2K_dev_719::span:1276:1339	1
2K_dev_719::span:1511:1745	-1
2K_dev_719::span:1342:1381	-1
2K_dev_719::span:1442:1508	-1
2K_dev_719::span:1384:1439	-1
2K_dev_280::span:36:148	-1
2K_dev_280::span:151:242	1
2K_dev_280::span:245:365	1
2K_dev_280::span:0:33	-1
2K_dev_824::span:1191:1363	-1
2K_dev_824::span:1046:1188	-1
2K_dev_824::span:961:987	-1
2K_dev_824::span:168:309	1
2K_dev_824::span:732:773	-1
2K_dev_824::span:312:522	1
2K_dev_824::span:1366:1387	-1
2K_dev_824::span:0:165	-1
2K_dev_824::span:841:958	-1
2K_dev_824::span:691:729	-1
2K_dev_824::span:525:609	-1
2K_dev_824::span:811:838	-1
2K_dev_824::span:776:808	-1
2K_dev_824::span:990:1043	-1
2K_dev_824::span:612:688	-1
2K_dev_824::span:1390:1447	-1
2K_dev_1524::span:0:148	-1
2K_dev_1524::span:151:229	-1
2K_dev_1524::span:561:748	-1
2K_dev_1524::span:496:558	1
2K_dev_1524::span:879:1008	-1
2K_dev_1524::span:327:441	1
2K_dev_1524::span:1011:1102	-1
2K_dev_1524::span:795:876	-1
2K_dev_1524::span:751:792	-1
2K_dev_1524::span:444:493	1
2K_dev_1524::span:263:324	-1
2K_dev_1524::span:232:260	-1
2K_dev_878::span:100:223	1
2K_dev_878::span:0:71	1
2K_dev_878::span:74:97	1
2K_dev_377::span:562:602	-1
2K_dev_377::span:527:559	-1
2K_dev_377::span:736:876	-1
2K_dev_377::span:175:244	-1
2K_dev_377::span:247:437	-1
2K_dev_377::span:440:524	-1
2K_dev_377::span:605:650	-1
2K_dev_377::span:653:733	-1
2K_dev_377::span:0:172	1
2K_dev_957::span:847:888	1
2K_dev_1039::span:0:173	-1
2K_dev_1039::span:176:246	-1
2K_dev_269::span:331:411	-1
2K_dev_269::span:226:328	-1
2K_dev_269::span:143:223	1
2K_dev_269::span:0:78	-1
2K_dev_269::span:81:140	-1
2K_dev_442::span:1212:1347	-1
2K_dev_442::span:1729:1855	-1
2K_dev_442::span:311:425	-1
2K_dev_442::span:206:308	-1
2K_dev_442::span:921:966	1
2K_dev_442::span:1133:1170	1
2K_dev_442::span:879:918	1
2K_dev_442::span:0:203	-1
2K_dev_442::span:1350:1509	-1
2K_dev_442::span:704:780	-1
2K_dev_442::span:1512:1573	-1
2K_dev_442::span:562:701	-1
2K_dev_442::span:428:516	-1
2K_dev_442::span:1651:1726	-1
2K_dev_442::span:1173:1209	1
2K_dev_442::span:969:1130	1
2K_dev_442::span:519:559	-1
2K_dev_442::span:1576:1648	-1
2K_dev_442::span:783:876	1
2K_dev_1323::span:1378:1434	-1
2K_dev_1323::span:1462:1515	-1
2K_dev_1323::span:706:769	1
2K_dev_1323::span:1115:1160	-1
2K_dev_1323::span:1437:1459	-1
2K_dev_1323::span:1163:1375	-1
2K_dev_1323::span:656:703	1
2K_dev_1323::span:854:954	1
2K_dev_1323::span:957:1112	1
2K_dev_1323::span:772:851	1
2K_dev_1474::span:1305:1354	1
2K_dev_1474::span:1357:1434	1
2K_dev_1474::span:1437:1492	-1
2K_dev_1089::span:0:81	-1
2K_dev_1089::span:475:569	-1
2K_dev_1089::span:413:472	-1
2K_dev_1089::span:825:851	-1
2K_dev_1089::span:972:1036	-1
2K_dev_1089::span:854:900	-1
2K_dev_1089::span:663:774	-1
2K_dev_1089::span:387:410	1
2K_dev_1089::span:777:822	-1
2K_dev_1089::span:84:111	-1
2K_dev_1089::span:253:296	1
2K_dev_1089::span:299:384	1
2K_dev_1089::span:114:250	-1
2K_dev_1089::span:903:969	-1
2K_dev_1089::span:572:660	-1
2K_dev_452::span:1827:1873	-1
2K_dev_452::span:1626:1707	-1
2K_dev_452::span:1710:1824	-1
2K_dev_1063::span:1090:1137	-1
2K_dev_1063::span:0:149	-1
2K_dev_1063::span:244:290	-1
2K_dev_1063::span:447:572	1
2K_dev_1063::span:575:668	-1
2K_dev_1063::span:671:897	-1
2K_dev_1063::span:422:444	1
2K_dev_1063::span:900:1087	-1
2K_dev_1063::span:293:419	1
2K_dev_1063::span:152:241	-1
2K_dev_1654::span:140:223	-1
2K_dev_1654::span:226:355	-1
2K_dev_1654::span:358:440	-1
2K_dev_1654::span:0:137	-1
2K_dev_130::span:486:513	-1
2K_dev_130::span:722:790	-1
2K_dev_130::span:671:719	-1
2K_dev_130::span:130:164	-1
2K_dev_130::span:384:483	-1
2K_dev_130::span:316:381	1
2K_dev_130::span:642:668	-1
2K_dev_130::span:793:806	-1
2K_dev_130::span:167:313	-1
2K_dev_130::span:0:98	-1
2K_dev_130::span:516:639	-1
2K_dev_130::span:101:127	-1
2K_dev_130::span:809:893	-1
2K_dev_91::span:0:167	-1
2K_dev_91::span:845:895	-1
2K_dev_91::span:732:786	-1
2K_dev_91::span:898:1039	-1
2K_dev_91::span:1042:1184	-1
2K_dev_91::span:590:645	1
2K_dev_91::span:246:587	-1
2K_dev_91::span:170:243	-1
2K_dev_91::span:789:842	-1
2K_dev_91::span:648:729	-1
2K_dev_704::span:813:856	-1
2K_dev_704::span:488:543	-1
2K_dev_704::span:730:751	-1
2K_dev_704::span:90:176	-1
2K_dev_704::span:599:637	-1
2K_dev_704::span:179:258	-1
2K_dev_704::span:350:407	-1
2K_dev_704::span:640:727	-1
2K_dev_704::span:546:596	-1
2K_dev_704::span:36:87	-1
2K_dev_704::span:754:810	-1
2K_dev_704::span:410:485	-1
2K_dev_704::span:261:347	-1
2K_dev_704::span:0:33	1
2K_dev_1877::span:0:28	1
2K_dev_1877::span:115:162	-1
2K_dev_1877::span:165:370	-1
2K_dev_1877::span:31:112	1
2K_dev_1946::span:247:353	-1
2K_dev_1946::span:108:244	-1
2K_dev_1946::span:0:105	1
2K_dev_1946::span:773:935	-1
2K_dev_1946::span:356:655	-1
2K_dev_1946::span:658:770	-1
2K_dev_1951::span:1302:1362	-1
2K_dev_1951::span:504:529	1
2K_dev_1951::span:711:741	-1
2K_dev_1951::span:1178:1299	-1
2K_dev_1951::span:532:607	1
2K_dev_1951::span:1365:1408	-1
2K_dev_1951::span:950:1121	-1
2K_dev_1951::span:744:947	-1
2K_dev_1951::span:1124:1175	-1
2K_dev_1951::span:610:708	1
2K_dev_957::span:790:845	1
2K_dev_1148::span:775:849	-1
2K_dev_1148::span:465:552	-1
2K_dev_1148::span:1002:1168	-1
2K_dev_1148::span:852:999	-1
2K_dev_1148::span:357:440	-1
2K_dev_1148::span:667:772	-1
2K_dev_1148::span:68:92	-1
2K_dev_1148::span:95:129	-1
2K_dev_1148::span:555:599	-1
2K_dev_1148::span:132:162	-1
2K_dev_1148::span:165:354	-1
2K_dev_1148::span:0:39	1
2K_dev_1148::span:443:462	-1
2K_dev_1148::span:42:65	-1
2K_dev_1148::span:602:664	-1
2K_dev_1662::span:671:831	-1
2K_dev_1662::span:834:1046	-1
2K_dev_249::span:480:507	-1
2K_dev_249::span:510:607	-1
2K_dev_249::span:837:986	-1
2K_dev_249::span:610:739	-1
2K_dev_249::span:742:834	-1
2K_dev_1928::span:26:88	-1
2K_dev_1928::span:367:421	-1
2K_dev_1928::span:1183:1205	-1
2K_dev_1928::span:164:210	-1
2K_dev_1928::span:1282:1397	-1
2K_dev_1928::span:1208:1279	-1
2K_dev_1928::span:0:23	-1
2K_dev_1928::span:91:161	-1
2K_dev_1928::span:881:1036	-1
2K_dev_1928::span:1091:1180	-1
2K_dev_1928::span:459:500	1
2K_dev_1928::span:1400:1449	-1
2K_dev_1928::span:503:683	1
2K_dev_1928::span:686:856	-1
2K_dev_1928::span:859:878	-1
2K_dev_1928::span:286:364	-1
2K_dev_1928::span:424:456	1
2K_dev_1928::span:1039:1088	-1
2K_dev_1928::span:213:283	-1
2K_dev_1826::span:191:337	1
2K_dev_1826::span:162:188	1
2K_dev_1826::span:0:63	-1
2K_dev_1826::span:340:491	1
2K_dev_1826::span:66:159	-1
2K_dev_1826::span:546:573	-1
2K_dev_1826::span:494:543	1
2K_dev_1499::span:0:70	-1
2K_dev_1499::span:107:188	-1
2K_dev_1499::span:73:104	-1
2K_dev_1031::span:0:109	-1
2K_dev_1031::span:800:911	-1
2K_dev_1031::span:660:797	-1
2K_dev_1031::span:274:384	1
2K_dev_1031::span:608:657	1
2K_dev_1031::span:387:465	1
2K_dev_1031::span:570:605	1
2K_dev_1031::span:468:516	1
2K_dev_1031::span:112:171	-1
2K_dev_1031::span:519:567	1
2K_dev_1031::span:174:211	-1
2K_dev_1031::span:214:271	-1
2K_dev_787::span:1109:1194	-1
2K_dev_787::span:1197:1283	-1
